node_number;x[m];y[m];z[m]
1.0;0.0;0.0;-0
2.0;0.0;-0.1;0.0045979604477
3.0;0.0;-0.2;0.00243519817128
4.0;0.0;-0.3;-0.0058853839294
5.0;0.0;-0.4;-0.0198828760139
6.0;0.0;-0.5;-0.0389334967186
7.0;0.0;-0.6;-0.0615551638961
8.0;0.0;-0.7;-0.0854479662071
9.0;0.0;-0.8;-0.10908132743
10.0;0.0;-0.9;-0.132761957713
11.0;0.0;-1.0;-0.157580076682
12.0;0.0;-1.1;-0.18391159554
13.0;0.0;-1.2;-0.211366114457
14.0;0.0;-1.3;-0.239764998401
15.0;0.0;-1.4;-0.269521447986
16.0;0.0;-1.5;-0.301040749265
17.0;0.0;-1.6;-0.334253322071
18.0;0.0;-1.7;-0.368718511056
19.0;0.0;-1.8;-0.403848185552
20.0;0.0;-1.9;-0.439107330094
21.0;0.0;-2.0;-0.474230157486
22.0;0.1;0.0;0.00459796044804
23.0;0.1;-0.1;0.003093663059
24.0;0.1;-0.2;-0.00463125122203
25.0;0.1;-0.3;-0.0179137619002
26.0;0.1;-0.4;-0.0356838912808
27.0;0.1;-0.5;-0.0565022948514
28.0;0.1;-0.6;-0.0790110312795
29.0;0.1;-0.7;-0.102240861422
30.0;0.1;-0.8;-0.125782700348
31.0;0.1;-0.9;-0.149851340143
32.0;0.1;-1.0;-0.174946123658
33.0;0.1;-1.1;-0.201364339804
34.0;0.1;-1.2;-0.229110731218
35.0;0.1;-1.3;-0.258200879436
36.0;0.1;-1.4;-0.288811873268
37.0;0.1;-1.5;-0.321005851031
38.0;0.1;-1.6;-0.354454443971
39.0;0.1;-1.7;-0.388591420856
40.0;0.1;-1.8;-0.422946238749
41.0;0.1;-1.9;-0.457274391644
42.0;0.1;-2.0;-0.491509218385
43.0;0.2;0.0;0.00243519817078
44.0;0.2;-0.1;-0.00463125122235
45.0;0.2;-0.2;-0.0172179770723
46.0;0.2;-0.3;-0.0344609036329
47.0;0.2;-0.4;-0.0548247773056
48.0;0.2;-0.5;-0.0763319273119
49.0;0.2;-0.6;-0.0979695873852
50.0;0.2;-0.7;-0.120184187376
51.0;0.2;-0.8;-0.143594857021
52.0;0.2;-0.9;-0.168138632913
53.0;0.2;-1.0;-0.193594854804
54.0;0.2;-1.1;-0.220175793442
55.0;0.2;-1.2;-0.248314390009
56.0;0.2;-1.3;-0.278169032211
57.0;0.2;-1.4;-0.309564189388
58.0;0.2;-1.5;-0.342181983687
59.0;0.2;-1.6;-0.375515537814
60.0;0.2;-1.7;-0.408993096853
61.0;0.2;-1.8;-0.442341267914
62.0;0.2;-1.9;-0.475622342928
63.0;0.2;-2.0;-0.50893200604
64.0;0.3;0.0;-0.00588538393127
65.0;0.3;-0.1;-0.0179137619017
66.0;0.3;-0.2;-0.0344609036333
67.0;0.3;-0.3;-0.053921361059
68.0;0.3;-0.4;-0.0748351544636
69.0;0.3;-0.5;-0.0960415223902
70.0;0.3;-0.6;-0.117274300838
71.0;0.3;-0.7;-0.139250199697
72.0;0.3;-0.8;-0.162636424404
73.0;0.3;-0.9;-0.187392668573
74.0;0.3;-1.0;-0.213271906054
75.0;0.3;-1.1;-0.240432747525
76.0;0.3;-1.2;-0.269259232287
77.0;0.3;-1.3;-0.2997770569
78.0;0.3;-1.4;-0.331540277981
79.0;0.3;-1.5;-0.364001088135
80.0;0.3;-1.6;-0.396689674674
81.0;0.3;-1.7;-0.429262483992
82.0;0.3;-1.8;-0.461639585327
83.0;0.3;-1.9;-0.493968705904
84.0;0.3;-2.0;-0.526368442651
85.0;0.4;0.0;-0.019882876017
86.0;0.4;-0.1;-0.0356838912827
87.0;0.4;-0.2;-0.0548247773061
88.0;0.4;-0.3;-0.0748351544636
89.0;0.4;-0.4;-0.0948179320546
90.0;0.4;-0.5;-0.115286614061
91.0;0.4;-0.6;-0.136792739214
92.0;0.4;-0.7;-0.159354117734
93.0;0.4;-0.8;-0.182952951785
94.0;0.4;-0.9;-0.207820993426
95.0;0.4;-1.0;-0.23422084696
96.0;0.4;-1.1;-0.262253718904
97.0;0.4;-1.2;-0.291853475734
98.0;0.4;-1.3;-0.322724449675
99.0;0.4;-1.4;-0.354302659803
100.0;0.4;-1.5;-0.386030558186
101.0;0.4;-1.6;-0.417671809637
102.0;0.4;-1.7;-0.449232393111
103.0;0.4;-1.8;-0.480751279441
104.0;0.4;-1.9;-0.512257508226
105.0;0.4;-2.0;-0.543784063358
106.0;0.5;0.0;-0.0389334967208
107.0;0.5;-0.1;-0.0565022948521
108.0;0.5;-0.2;-0.0763319273115
109.0;0.5;-0.3;-0.0960415223895
110.0;0.5;-0.4;-0.115286614061
111.0;0.5;-0.5;-0.135383833121
112.0;0.5;-0.6;-0.157201525496
113.0;0.5;-0.7;-0.180359963368
114.0;0.5;-0.8;-0.204444791121
115.0;0.5;-0.9;-0.229783266963
116.0;0.5;-1.0;-0.256864676281
117.0;0.5;-1.1;-0.285649956657
118.0;0.5;-1.2;-0.315659368143
119.0;0.5;-1.3;-0.346356222617
120.0;0.5;-1.4;-0.377249409407
121.0;0.5;-1.5;-0.407985841617
122.0;0.5;-1.6;-0.438556672038
123.0;0.5;-1.7;-0.469146157609
124.0;0.5;-1.8;-0.49982101391
125.0;0.5;-1.9;-0.530512545891
126.0;0.5;-2.0;-0.561180998591
127.0;0.6;0.0;-0.0615551638957
128.0;0.6;-0.1;-0.0790110312783
129.0;0.6;-0.2;-0.0979695873834
130.0;0.6;-0.3;-0.117274300837
131.0;0.6;-0.4;-0.136792739213
132.0;0.6;-0.5;-0.157201525496
133.0;0.6;-0.6;-0.179092866745
134.0;0.6;-0.7;-0.202488599504
135.0;0.6;-0.8;-0.227232244637
136.0;0.6;-0.9;-0.253424416524
137.0;0.6;-1.0;-0.281216327837
138.0;0.6;-1.1;-0.310344420415
139.0;0.6;-1.2;-0.340166898653
140.0;0.6;-1.3;-0.370131570729
141.0;0.6;-1.4;-0.400010212547
142.0;0.6;-1.5;-0.429770364589
143.0;0.6;-1.6;-0.459467699829
144.0;0.6;-1.7;-0.489192877737
145.0;0.6;-1.8;-0.518979851151
146.0;0.6;-1.9;-0.548788168473
147.0;0.6;-2.0;-0.578579737646
148.0;0.7;0.0;-0.0854479662057
149.0;0.7;-0.1;-0.10224086142
150.0;0.7;-0.2;-0.120184187373
151.0;0.7;-0.3;-0.139250199696
152.0;0.7;-0.4;-0.159354117734
153.0;0.7;-0.5;-0.180359963367
154.0;0.7;-0.6;-0.202488599504
155.0;0.7;-0.7;-0.226195252181
156.0;0.7;-0.8;-0.251640901649
157.0;0.7;-0.9;-0.278619507772
158.0;0.7;-1.0;-0.306803545983
159.0;0.7;-1.1;-0.335744188212
160.0;0.7;-1.2;-0.364875329339
161.0;0.7;-1.3;-0.393826948973
162.0;0.7;-1.4;-0.422641680304
163.0;0.7;-1.5;-0.4514944488
164.0;0.7;-1.6;-0.480404260247
165.0;0.7;-1.7;-0.509310295245
166.0;0.7;-1.8;-0.538200987246
167.0;0.7;-1.9;-0.567094281733
168.0;0.7;-2.0;-0.595989531837
169.0;0.8;0.0;-0.109081327429
170.0;0.8;-0.1;-0.125782700347
171.0;0.8;-0.2;-0.14359485702
172.0;0.8;-0.3;-0.162636424403
173.0;0.8;-0.4;-0.182952951784
174.0;0.8;-0.5;-0.20444479112
175.0;0.8;-0.6;-0.227232244637
176.0;0.8;-0.7;-0.251640901649
177.0;0.8;-0.8;-0.277726451189
178.0;0.8;-0.9;-0.305065948043
179.0;0.8;-1.0;-0.33306700965
180.0;0.8;-1.1;-0.361279008823
181.0;0.8;-1.2;-0.389425383905
